Title: EUR_TO_PLN

,,EUR_TO_PLN_KEY,,,,,,,,,,,,USD_TO_PLN_KEY,,,,,,,,,
,,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
0,01-01,4.4733,4.0727,4.1693,4.3053,4.2955,4.4123,4.1633,4.2964,4.2544,4.5475,4.5895,,3.4583,3.0710,3.0526,3.5749,3.9415,4.2162,3.4507,3.7698,3.8009,3.6984,4.0418,
1,02-01,4.4733,4.0727,4.1693,4.3053,4.2955,4.4123,4.1633,4.2964,4.2544,4.5475,4.5895,,3.4583,3.0710,3.0526,3.5749,3.9415,4.2162,3.4507,3.7698,3.8009,3.6984,4.0418,
2,03-01,4.4744,4.0884,4.1658,4.2979,4.2955,4.3934,4.1652,4.2975,4.2493,4.5475,4.5895,,3.4381,3.1204,3.0554,3.6071,3.9415,4.2305,3.4644,3.7870,3.8121,3.6984,4.0418,
3,04-01,4.4895,4.1165,4.1764,4.2979,4.2955,4.3778,4.1555,4.2957,4.2415,4.5475,4.5667,,3.4673,3.1636,3.0704,3.6071,3.9415,4.1945,3.4443,3.7672,3.7891,3.6984,4.0489,
4,05-01,4.5054,4.1193,4.1764,4.2979,4.3084,4.3680,4.1554,4.2908,4.2415,4.5473,4.5666,,3.5111,3.1592,3.0704,3.6071,4.0093,4.1596,3.4499,3.7491,3.7891,3.7057,4.0345,
5,06-01,4.4973,4.1193,4.1764,4.3075,4.3374,4.3552,4.1663,4.2908,4.2415,4.5160,4.5614,,3.5201,3.1592,3.0704,3.6155,4.0378,4.1129,3.4797,3.7491,3.7891,3.6602,4.0313,
6,07-01,4.4821,4.1193,4.1776,4.3108,4.3512,4.3777,4.1663,4.2908,4.2457,4.4998,4.5496,,3.5214,3.1592,3.0625,3.6436,4.0037,4.1629,3.4797,3.7491,3.8003,3.6655,4.0269,
7,08-01,4.4821,4.1245,4.1767,4.2902,4.3523,4.3777,4.1663,4.3055,4.2429,4.5113,4.5334,,3.5214,3.1518,3.0725,3.6456,4.0073,4.1629,3.4797,3.7635,3.8173,3.6827,4.0055,
8,09-01,4.4821,4.1090,4.1755,4.2699,4.3646,4.3777,4.1795,4.2968,4.2422,4.5294,4.5334,,3.5214,3.1472,3.0675,3.6146,4.0086,4.1629,3.5028,3.7510,3.8184,3.7239,4.0055,
